date,time,lat,lng
2017-07-18,18994,21.4275025,105.9004307
2017-07-18,19014,21.4258401,105.9004927
2017-07-18,19034,21.4254012,105.9004322
2017-07-18,19054,21.4257232,105.9003851
2017-07-18,19074,21.4257232,105.9003851
2017-07-18,19094,21.4257232,105.9003851
2017-07-18,19114,21.4257232,105.9003851
2017-07-18,19134,21.4257232,105.9003851
2017-07-18,19154,21.4257232,105.9003851
2017-07-18,19174,21.4257232,105.9003851
2017-07-18,19194,21.4256249,105.9003724
2017-07-18,19214,21.4241018,105.9003752
2017-07-18,19234,21.4215024,105.9003979
2017-07-18,19254,21.4205278,105.9003565
2017-07-18,19274,21.4176809,105.8997545
2017-07-18,19294,21.41544,105.8992366
2017-07-18,19314,21.4120026,105.8990161
2017-07-18,19334,21.4091892,105.8994357
2017-07-18,19354,21.4065884,105.8992972
2017-07-18,19374,21.4063447,105.8978071
2017-07-18,19394,21.4062006,105.8966779
2017-07-18,19414,21.4059058,105.8948195
2017-07-18,19434,21.4054411,105.8923402
2017-07-18,19454,21.4052019,105.8906325
2017-07-18,19474,21.4049699,105.8891153
2017-07-18,19494,21.4047072,105.88745
2017-07-18,19514,21.40495,105.8861659
2017-07-18,19534,21.4059523,105.8868221
2017-07-18,19554,21.4046026,105.8880566
2017-07-18,19574,21.4019698,105.8885605
2017-07-18,19594,21.3979534,105.8888061
2017-07-18,19614,21.3949216,105.8884223
2017-07-18,19634,21.390696,105.8877402
2017-07-18,19654,21.3877701,105.8872873
2017-07-18,19674,21.3838301,105.8870231
2017-07-18,19694,21.3798926,105.8879324
2017-07-18,19714,21.376425,105.8891517
2017-07-18,19734,21.3717308,105.8905415
2017-07-18,19754,21.367869,105.8905047
2017-07-18,19774,21.3646721,105.8895641
2017-07-18,19794,21.3625997,105.8884642
2017-07-18,19814,21.3591566,105.8864908
2017-07-18,19834,21.3568582,105.8851477
2017-07-18,19854,21.352589,105.8827497
2017-07-18,19874,21.3492192,105.8810059
2017-07-18,19894,21.3456719,105.8795373
2017-07-18,19914,21.3405606,105.8781361
2017-07-18,19934,21.3365886,105.8775568
2017-07-18,19954,21.3311382,105.877341
2017-07-18,19974,21.3270198,105.8772661
2017-07-18,19994,21.3217854,105.8772566
2017-07-18,20014,21.3188116,105.8775026
2017-07-18,20034,21.3155671,105.8780655
2017-07-18,20054,21.3123655,105.8788841
2017-07-18,20073,21.3073228,105.8802055
2017-07-18,20093,21.3038394,105.8811216
2017-07-18,20113,21.2992664,105.8823079
2017-07-18,20133,21.2956689,105.8832063
2017-07-18,20153,21.2904517,105.88461
2017-07-18,20173,21.2865647,105.8856292
2017-07-18,20193,21.2811942,105.8870241
2017-07-18,20213,21.2775477,105.8881132
2017-07-18,20233,21.2729152,105.8904212
2017-07-18,20253,21.2701396,105.89239
2017-07-18,20273,21.2665875,105.8958019
2017-07-18,20293,21.2635064,105.8999073
2017-07-18,20313,21.2612213,105.9031021
2017-07-18,20333,21.2580467,105.9075664
2017-07-18,20353,21.2555455,105.9110786
2017-07-18,20373,21.2526346,105.915124
2017-07-18,20393,21.2503832,105.9182332
2017-07-18,20413,21.2468432,105.9216257
2017-07-18,20433,21.2441818,105.9232092
2017-07-18,20453,21.2402166,105.9246297
2017-07-18,20473,21.2368259,105.9257509
2017-07-18,20493,21.2319711,105.9273647
2017-07-18,20513,21.2280871,105.9286433
2017-07-18,20533,21.2228831,105.9303399
2017-07-18,20553,21.2187596,105.9312383
2017-07-18,20573,21.2138051,105.9313373
2017-07-18,20593,21.2100936,105.9312568
2017-07-18,20613,21.2073585,105.9311402
2017-07-18,20633,21.2049965,105.9293466
2017-07-18,20653,21.2043761,105.930915
2017-07-18,20673,21.2051407,105.9328231
2017-07-18,20693,21.2076933,105.9334207
2017-07-18,20713,21.2099418,105.9331993
2017-07-18,20733,21.2110045,105.9346967
2017-07-18,20753,21.2102848,105.9328165
2017-07-18,20773,21.2115015,105.9281018
2017-07-18,20793,21.211935,105.9244613
2017-07-18,20813,21.2120926,105.9195057
2017-07-18,20833,21.2122035,105.915466
2017-07-18,20853,21.2122712,105.9106385
2017-07-18,20873,21.2122483,105.9053354
2017-07-18,20893,21.2127827,105.9016129
2017-07-18,20913,21.2140739,105.8966289
2017-07-18,20933,21.2150345,105.8928991
2017-07-18,20953,21.2163295,105.8878514
2017-07-18,20973,21.2167822,105.8840329
2017-07-18,21014,21.2151645,105.875487
2017-07-18,21034,21.2128715,105.871057
2017-07-18,21054,21.2113857,105.8670709
2017-07-18,21074,21.2108044,105.8638038
2017-07-18,21094,21.2108239,105.8602068
2017-07-18,21114,21.2112477,105.8553987
2017-07-18,21134,21.211447,105.8515445
2017-07-18,21154,21.2110103,105.84776
2017-07-18,21174,21.2100888,105.8446456
2017-07-18,21194,21.2081908,105.8408363
2017-07-18,21214,21.2063894,105.8384588
2017-07-18,21234,21.2031823,105.835506
2017-07-18,21254,21.2003339,105.8335776
2017-07-18,21274,21.1966905,105.8296459
2017-07-18,21294,21.1951148,105.8261891
2017-07-18,21314,21.1944354,105.821232
2017-07-18,21334,21.1943259,105.8173346
2017-07-18,21354,21.1941637,105.8119347
2017-07-18,21374,21.1941442,105.8077744
2017-07-18,21394,21.1948264,105.8028637
2017-07-18,21414,21.1961289,105.7990016
2017-07-18,21434,21.1987394,105.7944214
2017-07-18,21454,21.2009065,105.7914041
2017-07-18,21474,21.2040232,105.7871597
2017-07-18,21494,21.2062941,105.7858088
2017-07-18,21514,21.2051034,105.783812
2017-07-18,21534,21.2053565,105.7798472
2017-07-18,21554,21.2065577,105.7783189
2017-07-18,21574,21.2041167,105.7797478
2017-07-18,21594,21.203016,105.779869
2017-07-18,21614,21.2000299,105.7801883
2017-07-18,21634,21.1968205,105.780546
2017-07-18,21654,21.1934619,105.7806622
2017-07-18,21674,21.1902187,105.7805588
2017-07-18,21694,21.1871413,105.7804019
2017-07-18,21714,21.185684,105.7795618
2017-07-18,21734,21.1858071,105.7761643
2017-07-18,21754,21.183824,105.7759271
2017-07-18,21774,21.1818545,105.7766856
2017-07-18,21794,21.1818278,105.7778337
2017-07-18,21814,21.1818278,105.7778337
2017-07-18,21834,21.1818278,105.7778337
2017-07-18,21854,21.1818278,105.7778337
2017-07-18,21874,21.1819018,105.7779033
2017-07-18,21894,21.1819018,105.7779033
2017-07-18,21914,21.1819018,105.7779033
2017-07-18,21934,21.1819018,105.7779033
2017-07-18,21954,21.1819018,105.7779033
2017-07-18,21974,21.1819018,105.7779033
2017-07-18,21994,21.1819018,105.7779033
2017-07-18,22014,21.1819018,105.7779033
2017-07-18,22034,21.1819018,105.7779033
2017-07-18,22054,21.1819018,105.7779033
2017-07-18,22074,21.1819018,105.7779033
2017-07-18,22094,21.1819018,105.7779033
2017-07-18,22114,21.1819018,105.7779033
2017-07-18,22134,21.1819018,105.7779033
2017-07-18,22154,21.1819018,105.7779033
2017-07-18,22174,21.1818926,105.7775931
2017-07-18,22194,21.1819043,105.7772254
2017-07-18,22214,21.1819393,105.7768729
2017-07-18,22234,21.1819648,105.7764604
2017-07-18,22254,21.1819406,105.7761299
2017-07-18,22274,21.1822942,105.7759716
2017-07-18,22294,21.182504,105.7760294
2017-07-18,22314,21.1817907,105.7758513
2017-07-18,22334,21.1813478,105.7755183
2017-07-18,22354,21.1813478,105.7755183
2017-07-18,22374,21.1813478,105.7755183
2017-07-18,22394,21.1813478,105.7755183
2017-07-18,22414,21.1813478,105.7755183
2017-07-18,22434,21.1813478,105.7755183
2017-07-18,22454,21.1813478,105.7755183
2017-07-18,22474,21.1812635,105.7754795
2017-07-18,22494,21.1812635,105.7754795
2017-07-18,22514,21.1812635,105.7754795
2017-07-18,22534,21.1812635,105.7754795
2017-07-18,22554,21.1812635,105.7754795
2017-07-18,22574,21.1812635,105.7754795
2017-07-18,22594,21.1812635,105.7754795
2017-07-18,22614,21.1812635,105.7754795
2017-07-18,22634,21.1812635,105.7754795
2017-07-18,22654,21.1812635,105.7754795
2017-07-18,22674,21.1812635,105.7754795
2017-07-18,22694,21.1812635,105.7754795
2017-07-18,22714,21.1812635,105.7754795
2017-07-18,22735,21.1812635,105.7754795
2017-07-18,22755,21.1812635,105.7754795
2017-07-18,22775,21.1812635,105.7754795
2017-07-18,22795,21.1812635,105.7754795
2017-07-18,22815,21.1812635,105.7754795
2017-07-18,22835,21.1812635,105.7754795
2017-07-18,22855,21.1812635,105.7754795
2017-07-18,22875,21.1812635,105.7754795
2017-07-18,22895,21.1812635,105.7754795
2017-07-18,22915,21.1812635,105.7754795
2017-07-18,22935,21.1812635,105.7754795
2017-07-18,22955,21.1812635,105.7754795
